id,type,expert_area,source_ref,question,context,status,answer_ref
adj-ga-referrals-mask-down,adjudicate,Dr. Alex,conflict-group:ga-referrals-mask-down,"Reconcile mask downs and GA referrals: Texas stopped offering Medicaid mask downs in 2023 (refer to oral surgery), while Michigan offers in-house mask downs at $420 versus $900 GA (Aug 2026). Is that the current per-region picture, and is the referral list still current (San Antonio Surgical Arts, Dr. Nitin Raju at Super Smiles added 2024, Special Needs Dental Austin, Hill Country Oral Surgery)?","5 items: 2023 GA updates in doctors and KTT spaces with different named referral offices, the 2024 Raju addition, Dr. Alex's 2024 referral overview pointing to per-office cheat sheets, and the 2026 MI mask-down clarification (10168066712).",open,
adj-sdf-coverage-billing,adjudicate,Tim,conflict-group:sdf-coverage-billing,"State the current SDF coverage rules: which Medicaids cover it and to what age, the 6-month GA block, the same-day fluoride exclusion, the Outreach write-off exception, the Delta Dental non-coverage rule (2026), and the Michigan rules. Is the Dec 2024 post fully superseded by the Jan 2025 one?","5 items. 2023: Medicaid GA block, Outreach billing (6713012553). Dec 2024 rules partially superseded; Dr. Kasey's comment holds MI rules (all ages, 3-month treatment hold, max 5 teeth, once per tooth per lifetime). Jan 2025: all three TX Medicaids (UHC, MCNA, DentaQuest) cover SDF, age cap 6, second applications out-of-pocket (8170773479). Jan 2025 pricing: UCR minus 15% with NCS form after denial (8253619526). Jul 2026: Delta Dental does not cover code 1354, collect Delta fee from patient (10140580153).",open,
adj-zirconia-crown-billing,adjudicate,Tim,conflict-group:zirconia-crown-billing,"Confirm the current zirconia crown billing matrix: Texas Medicaid treats D2929 as non-covered (charge UCR with a signed NCS form, no prior auth needed, per Jun 2025), while some Michigan Medicaid plans now cover it (bill insurance directly) and PPOs everywhere are set at 15% off UCR with the balance collected from the patient on the day of service (Jul 2026).","3 items: the Jun 2025 TX clarification (8715863370), the Jul 2026 billing protocol (10151626523), and the Jul 2026 MI clinical standard keeping stainless steel as the posterior default with zirconia for medical necessity (10102433332).",open,
adj-medicaid-noncovered-services-form,adjudicate,Tim,conflict-group:medicaid-noncovered-services-form,"Confirm the single NCS rule: any time a Medicaid patient pays out of pocket, a Non-Covered Services form listing the specific teeth, procedure code, fee, and member ID must be signed before payment, and for IPC the billing order flips from N to D to get the denial on record.","3 items: the 2024 standards-and-values consent post with legal validity requirements (7800845943), the Mar 2026 reminder (9649551273), and the Jan 2025 IPC billing procedure (8201480323). Consistent story; confirm as one rule.",open,
adj-texas-medicaid-preauth,adjudicate,Tim,conflict-group:texas-medicaid-preauth,"Do the July 2026 Texas Medicaid pre-auth guidelines (always pre-auth all sedation and all extractions, repeated fillings; sealants once per tooth per lifetime; NCS form on denial) fully replace the 2023 rule of creating a pre-auth for every single Medicaid treatment plan?",2 items: Raul's Jul 2026 guidelines (10151076279) versus the Nov 2023 send-everything-to-the-TC rule (6750337748).,open,
adj-sealant-coverage-planning,adjudicate,Tim,conflict-group:sealant-coverage-planning,"Confirm sealant coverage planning by region: Texas PPO plans mostly cover only permanent first and second molars (2, 3, 14, 15, 18, 19, 30, 31) so anything else needs a signed non-coverage acknowledgment, while Michigan Healthy Kids covers sealants on all primary teeth and all permanent molars and premolars.","2 items: Colleen's 2022 KTT reminder (5385551842) and Dr. Kasey's Mar 2026 MI post (9659007046). Regional split, not a contradiction; confirm both remain accurate, including the 2026 TX once-per-tooth-per-lifetime Medicaid note from adj-texas-medicaid-preauth.",open,
adj-michigan-exam-codes,adjudicate,Dr. Alex,conflict-group:michigan-exam-codes,"For Michigan exam coding, is the Aug 2025 'Michigan Exams' care panel (consultation code for Medicaid consults, limited exams for PPO/cash only, caries risk codes removed, D1206 fluoride all ages) plus the under-3 baby exam explosion code (Jun 2025) the complete current picture, superseding the Feb 2024 use-the-PPO-explosion-code rule?","3 items: 7058500051 (2024, with Tim's Michigan-only clarification), 8988033110 (Aug 2025 care panel), 8793810764 (Jun 2025 under-3 code).",open,
adj-free-second-opinion,adjudicate,Tim,conflict-group:free-second-opinion,"Two-parter: (1) confirm the July 2026 free second opinion definition and role split (parent brings x-rays plus a treatment plan; DFI establishes and notes it, DA informs the doctor, PM adjusts charges off under the Free Second Opinion code); (2) are the 2022 limited exam prices still right: free for Medicaid, $76.50 plus x-rays capped at $125 for PPO, and the $125 new patient special?","2 items: the 2022 Limited Exam Policy doc (5164429275, also the source of the $125 figure the gap report asks about) and Wes's Jul 2026 clarification (10080591671).",open,
adj-insurance-verification-process,adjudicate,Tim,conflict-group:insurance-verification-process,"Confirm insurance verification is now Medusind's job and the DFI's job is only to log the plan as Pending Verification with subscriber ID or SSN and set the hierarchy (Primary/Secondary Dental), making the 2022 DFI-verifies checklists historical.","4 items: two 2022 DFI-space guides where DFIs verify on carrier websites (5164417442, 5335945359) versus Raul's Apr 2026 Medusind-era instructions posted in two spaces (9815971556, 9815973031).",open,
adj-insurance-inquiry-scripts,adjudicate,Tim,conflict-group:insurance-inquiry-scripts,"Which insurance inquiry script is canon for 'do you take my insurance' calls: the May 2026 scripting (never say no, book and let verification handle it, audit schedules a week out) or Tim's Nov 2024 script? And does the exception for plans we definitely do not accept (offer the $125 new patient special, e.g. HMOs) still stand?","3 items: Dec 2025 never-say-no-when-OON script (9341057811), Tim's Nov 2024 full call script with the HMO exception (8047924229), Raul's May 2026 new scripting that says it supersedes prior guidance (9912568801). John kept 8047924229 with a stale flag.",open,
adj-insurance-phrasing-scripts,adjudicate,Tim,conflict-group:insurance-phrasing-scripts,"Merge the two phrasing cheat sheets into one canon: is the rule 'estimated insurance benefits / estimated patient responsibility, never covered-or-not-covered, never out of pocket' (Dec 2025) plus 'we are not contracted with your insurance, never out of network' (Aug 2025)?","2 items: the Dec 2025 Alcan cheat sheet (9341045931) and Lauren's Aug 2025 DFI guidance (9004242814). Compatible; needs one merged phrase list, which also answers gap-t10e.",open,
adj-metlife-network-policy,adjudicate,Tim,conflict-group:metlife-network-policy,"Confirm the Apr 2026 MetLife policy is the only current one: in network ONLY with MetLife PDP+, honor the PDP+ fee schedule for all MetLife plans, set non-PDP+ plans at a 30% patient copay collected at time of service with refund if MetLife pays more, and never attach UCRs to MetLife. That would retire the Apr 2024 out-of-network scripting and the 2023 contract-conversion playbook.","4 items: Wes's Apr 2026 policy doc and message copy (9761707796, 9761718516), the Apr 2024 scripting John kept with a stale flag (7305404817), and Tim's 2023 conversion playbook, also kept with a stale flag (6246853442).",open,
adj-cancellation-late-policy,adjudicate,Tim,conflict-group:cancellation-late-policy,"State the current cancellation consequence ladder in plain words: does the 2022 policy still hold (first no-show or under-48-hour cancellation restricts rebooking to midday slots for 12 months; second puts the family on same-day standby; third terminates with 30 days emergency coverage), or is the softer 2024 script ladder (courtesy reschedule, then 24-hour scheduling list) the real policy? And is 15 minutes late still an automatic reschedule everywhere?","4 items: the 2022 policy docx (5164431536), Taryn's Mar 2024 scripts (7175558287, kept by John with a stale flag), Sprout's Sep 2025 scripting matching the 2024 ladder plus a call-at-5-minutes rule (9115899861), and MI's Jul 2026 emergency and 15-minute-late update (10125601061). This is the same ladder gap-t4 asks Tim to state; answering either closes both.",open,
adj-schedule-blocks,adjudicate,Tim,conflict-group:schedule-blocks,"Who may place a schedule block today: office managers exclusively (Aug 2026), only with doctor approval (Tim's Jun 2025 rule), or the office's designated person (MI Jan 2025)? Say the one current rule.","3 items: Raul's Aug 2026 OM-exclusive update (10173068106), Tim's Jun 2025 founder rule that nobody blocks open slots without doctor approval (8768920592), MI's Jan 2025 designated-person post built around the no-show rate and 45 patients/day design (8187679912). Likely the Aug 2026 rule supersedes; confirm.",open,
adj-lap-exam-scheduling,adjudicate,Tim,conflict-group:lap-exam-scheduling,"What is the current lap exam scheduling rule: designated staggered slots only (Feb 2026), or the older 45-60 minutes between lap bookings (Feb 2024)? And does side-by-side family booking remain the one exception?","3 items: Feb 2024 guidance (7065372604), May 2025 stagger-and-cooperate reminder (8649893348), Feb 2026 designated-slots rule (9552886632).",open,
adj-checkin-procedure,adjudicate,Tim,conflict-group:checkin-procedure,"Confirm the current check-in canon: the Jun 2024 CareStack flow (mark every arrival Arrived, verify paperwork/insurance/memo, Arrived - NO PPW when incomplete, only Checked In patients get pulled back) plus the Jul 2026 status guide definitions and punctuality rules. Do the 2024 PDF and the 2026 guide agree everywhere?","3 items: Colleen's Jun 2024 procedure (7497575403), the written DFI PDF (7500617976), and Ariyana's Jul 2026 appointment status guide with DFI-back-by-1:50 and on-time pullbacks at 8, 9, and 2 (10103572403).",open,
adj-authorized-adults-consent,adjudicate,Tim + Dr. Alex,conflict-group:authorized-adults-consent,"Confirm the current authorized-adults stack: annual Patient Consent to Treat and Office Policies form (2023), check-in verification of every accompanying adult against the consent and HIPAA forms with the 2025 script, guardianship paperwork required before GA or sedation scheduling for non-biological guardians, and the dedicated authorized-adults form Dr. Alex added to CareStack Forms in 2025.","6 items: 2023 guardianship policy (6241198337), 2023 annual re-sign form change (6161785586, 6326692597), and the May 2025 check-in protocol posted in three brand spaces (8646634646, 8644466110, 8648735784 with the CareStack form comment). Cumulative, not conflicting; needs one merged statement. Answering this also grounds gap-a6.",open,
adj-asl-interpreter-policy,adjudicate,Tim,conflict-group:asl-interpreter-policy,"Confirm the current ASL/deaf patient policy: Jeenie or CyraCom live video at the practice's expense for everyone (ADA Title III), in-person interpreters through Medicaid with 2 weeks notice and code D0009 on the appointment, the ASL Services Acknowledgement form in every ASL family's paperwork, and (per Feb 2026) Jeenie reserved for urgent cases only because it costs more than the visit collects.","6 items: Dr. Alex's 2024 protocol message and formal policy doc (7800673643, 7800971491), the Jan 2025 checklist reinforcement (8234806041), and the Feb 2026 Medicaid workflow posted in three spaces (9615780719 and copies). The Jeenie-as-courtesy versus Jeenie-only-if-urgent shift is the one real change to adjudicate.",open,
adj-interpreter-request-medicaid,adjudicate,Tim,conflict-group:interpreter-request-medicaid,"Are the 2022 how-to PDFs for requesting a Medicaid interpreter (the general one, and the MCNA-specific email method) still the correct procedures?","3 items: the same 2022 PDF in two spaces (7800971438 kept by John, 5159739576) and the MCNA email method (5681788825). The Feb 2026 ASL workflow leans on this process still working.",open,
adj-pto-time-off-policy,adjudicate,Tim,conflict-group:pto-time-off-policy,"State the current PTO and time-off rules in one breath: accrual (10 days, 15 after 5 years, 4 or 8 hour increments, credited Jan 1), all requests through Deputy, and the real notice requirement: is it 60 days with blackout dates (Nov 2025 Alcan post), two weeks (Jul 2025 Sage/Justin offices), or does it differ by office group?","7 items: Frank's Jun 2026 accrual post (10040784527), Tim's Jun 2025 Deputy-only rule (8736137121), the Jul 2025 two-week process for Sage/Justin offices (8894846520), Nov 2025 60-day policy plus blackout dates (9316087186), the 2024 blackout list (6947195735), Sprout Deputy expectations (9076326408), and the office-transfer clocking post with handbook blackout dates (8654169474).",open,
adj-timeclock-corrections,adjudicate,Tim,conflict-group:timeclock-corrections,"Confirm the current missed-punch procedure is Tim's May 2026 policy: email iwilldobetter@alcandentalcooperative.com (Deputy shift comments no longer used for corrections, hospital/off-site clock-ins pre-arranged with Raul, 3+ missed punches in a year is grounds for termination), retiring the Jan 2026 Deputy-comments-only policy and the older email-Colleen and email-Frank routes.","6 items spanning 2025-2026: Colleen's Apr 2025 Deputy-comment procedure, Feb 2025 email-Colleen Wednesday processing, Sprout's 2025 rollout and Frank-routing, Frank's Jan 2026 Deputy-comments-only policy with 5-minute grace (9428805614), and Tim's May 2026 post whose comments explicitly drop Deputy comments (9908288214).",open,
adj-benefits-open-enrollment,adjudicate,Tim,conflict-group:benefits-open-enrollment,"Confirm the standing benefits policy: Alcan pays half the employee's monthly premium, dependents are covered at employee cost, enrollment runs annually via Employee Navigator (2026 cycle added a fourth plan, H75), and Sprout staff now enroll through Alcan like everyone else.","5 items: 2026 open enrollment with the standing premium policy (10025348675), 2025 cycle (8745590621), the 2023 Sana-era post (6250336364, historical), and the two 2025 Sprout transition posts (8774531652, 8978771877).",open,
adj-401k-benefits,adjudicate,Tim,conflict-group:401k-benefits,"Confirm the retirement picture: 401K access is through ADP, and state whether the employer match announced for Sprout (Dec 2025) applies across all Alcan practices or Sprout only.",2 items: the 2024 ADP access doc (8112733436) and the Sprout match announcement (9395444054).,open,
adj-google-2fa-mandate,adjudicate,Tim,conflict-group:google-2fa-mandate,"Confirm the Aug 2026 rule is current: two-factor authentication is mandatory on every office Google Workspace account for HIPAA compliance, with forced password resets for non-compliance, superseding the Dec 2025 post-hack request.",2 items: Dec 2025 Cybersecurity post after Dr. Alex's email hack (9354822113) and the Aug 2026 mandate (10162340623).,open,
adj-dress-code,adjudicate,Tim,conflict-group:dress-code,"Confirm the dress code canon: the Jul 2025 Team Style and Presence post is the pinned standing reference (matching scrub sets, closed-toe shoes, badges, hair back, business casual for admin), all RDAs wear black scrubs for uniformity (Tim, Apr 2026), and violations mean being sent home to change (Aug 2026).","3 items: the pinned Jul 2025 post (8890674652), Tim's Aug 2026 Manor send-home reminder (10173418450), and the Apr 2026 Daily Office Standards whose dress section overlaps (9831415913). Also feeds gap-t3's what-do-people-wear question; note RDA and doctor standards beyond scrub color are still thin.",open,
adj-emergency-closure-procedures,adjudicate,Tim,conflict-group:emergency-closure-procedures,"Is the Feb 2026 Emergency Office Closure Checklist the current protocol for all non-Michigan offices, and has the separate Michigan inclement-weather protocol Dr. Kasey said was in the works actually been written?","2 items: the checklist (9573800557) whose comments say it is explicitly not Michigan's protocol, and Sprout's Jan 2026 winter freeze prep checklist (9498271050), which is prep rather than closure.",open,
adj-new-hire-onboarding-checklist,adjudicate,Tim,conflict-group:new-hire-onboarding-checklist,"Confirm the Oct 2024 consolidated onboarding checklists (Alcan, Michigan, Texas: offer letter and culture guide, DoneDesk, Basecamp, Deputy/ADP, day-one compliance and CareStack University, day-two shadowing) fully replace the 2022 per-step to-do lists, and settle the leftovers: are scrubs ordered through the Scrubs and Beyond account or reimbursed up to $150, and is Thinkific still used for anything?","26 items: the 2022 KTT Texas and PM to-do checklists (scrubs, OneDrive folders, CareStack logins, Thinkific with shared credentials, Basecamp invites, day 1 and 2 timelines, Goodhire, welcome email, compliance reminders) versus the three Oct 2024 consolidated docs (7883522080, 7883522111, 7883522154). The 2022 welcome email also references Homebase, long since replaced by Deputy.",open,
adj-rda-certification-requirements,adjudicate,Tim,conflict-group:rda-certification-requirements,"State the current RDA credential deadlines and money: how many weeks after start is the nitrous monitoring credential due (4 weeks per the 2023 post, 6 weeks per the 2024 offer letters, 90 days per Sprout 2025), and what is the current cost model for courses: advance forgiven after 12 months, or immediate reimbursement (Wes upgraded Sprout to reimbursement)?","5 items: 2023 nitrous post (6114666511), TX and MI offer letter templates (7883521679, 7883521734), Sprout course policy with Wes's upgrade comment (8738606236), and the 2026 KTT $865 polishing/sealant program with forgiveness after 12 months and single-course prices $465/$400 (9811468870).",open,
adj-rda-license-ce-renewal,adjudicate,Dr. Alex,conflict-group:rda-license-ce-renewal,"Confirm the Texas RDA renewal requirements as posted Apr 2025 are current: 12 CE hours per 2 years (6 clinical, 6 live-format), hands-on BLS from AHA or Red Cross only (online-only courses do not count), and the human trafficking prevention course.","3 items: the Apr 2025 refresher (8599868725) and the two 2023 posts on CE sources and acceptable BLS courses (6113004687, 6112808419). Consistent; confirm the hour split has not changed.",open,
adj-rda-daily-checklist,adjudicate,Ariyana,conflict-group:rda-daily-checklist,"Reconcile the two overlapping daily checklists (Lead RDA, 2023, and RDA, 2023): which items belong to the Lead versus every RDA today, and are the specifics still right (7:50 clock-in, 7:45 Thursdays; Lainey Ramsey Ortho lab pickup at 512-924-3893; end-of-day sedation and GA patient calls)?","2 items: 5882972174 and 6448420428, nearly identical content posted for different audiences. Feeds gap-s7's daily rhythm shelf.",open,
adj-daily-manager-checklist,adjudicate,Tim,conflict-group:daily-manager-checklist,"Confirm the Nov 2025 Daily Manager Checklist (the linked Google Sheet regionals check daily) is the single current manager checklist, and say what if anything from the 2023 Practice Manager FC checklist (claim flags, pre-auths within 3 days, cash/EOB scanning, weekly and monthly duties) still applies outside it.","3 items: the 2023 FC checklist docx (6339060021), Tim's Oct 2025 intro (9162836873), and the Nov 2025 definitive post (9266698019).",open,
adj-practice-manager-job-description,adjudicate,Tim,conflict-group:practice-manager-job-description,Is the 2022 Practice Manager job description still the current role definition? It says the PM reports to Colleen; who does a PM report to now that regional managers exist?,2 items: the same JD posted in KTT (6260659869) and PM space (5311231537).,open,
adj-faliam-ordering-rules,adjudicate,Tim,conflict-group:faliam-ordering-rules,"What is the current Faliam ordering practice: formulary-first with lowest-price vendor (Apr 2024), or main-catalog ordering with recurring supplies hearted (the practice that emerged after the Sep 2025 catalog upgrade broke formulary search)? And do vendor minimums still not matter?","3 items: Mar 2024 lowest-price rule (7183386616), Apr 2024 formulary-first rule (7320457565), Sep 2025 upgrade post whose comments carry the shift to hearted main-catalog items (9042060218).",open,
adj-dryshield-ordering,adjudicate,Ariyana,conflict-group:dryshield-ordering,Where do we order Dryshield and Solmetex products today: DC Dental (per the Jul 2024 negotiated pricing post) or Dental City (per the 2023 rule)?,"2 items: 6779848352 (2023, Dental City not Burkhart) and 7621278130 (Jul 2024, DC Dental). Note DC Dental and Dental City are different vendors; the names invite mix-ups, so say it precisely.",open,
adj-dental-city-contact,adjudicate,Tim,conflict-group:dental-city-contact,"Confirm the current Dental City contact: Maria Hamerlinck and the customer service team at dsupport@dentalcity.com (Apr 2025), with the 2024 maternity-cover contact retired.","2 items: 8508986437 (Apr 2025, durable contact) and 7977772928 (Oct 2024, temporary cover).",open,
adj-appliance-cement,adjudicate,Ariyana,conflict-group:appliance-cement,"Confirm the appliance cement standard: is the light-cure cement ordered in Feb 2026 (Texas post) the same Ultra Band-Lok Blue that Michigan documented in Jul 2026, and is it now the standard for spacers and appliances at every office?","2 items: the Feb 2026 KTT Texas order directive (9627004745, product named only in an image) and Dr. Kasey's Jul 2026 Ultra Band-Lok Blue instructions with dry-isolation technique (10125348761).",open,
adj-smilecrew-ortho-referral,adjudicate,Dr. Alex,conflict-group:smilecrew-ortho-referral,"What is the current SmileCrew referral rule in Michigan: free growth guidance consultation offered to all kids 7 and older (Jul 2026, citing the AAO age-7 recommendation), or age 10 and up (Jun 2026)? And are the $1,000-off coupons still Medicaid-priority at doctor discretion?",2 items: Ariyana's Jun 2026 age-10 update (9973376649) and the Jul 2026 age-7 reminder with exclusion criteria (10149761271). The later post likely wins; confirm.,open,
adj-short-call-list,adjudicate,Tim,conflict-group:short-call-list,"Confirm the short call list practice is current in both regions: any family asking for something sooner gets offered the standby list, and patients can be added without a scheduled appointment.","2 items: Tim's 2023 KTT post with demo video (6231594373, kept by John with a stale flag) and Dr. Kasey's Jun 2026 MI reminder with script (9954725100). The 2026 post suggests the practice is alive; confirm the 2023 mechanics still match today's CareStack.",open,
adj-pre-treatment-video-protocol,adjudicate,Ariyana,conflict-group:pre-treatment-video-protocol,"State the one current pre-treatment video rule: which visit types require it (KTT Dec 2024 says before every nitrous treatment; Big Apple Jan 2025 says every treatment appointment except IV sedation; Sprout Jun 2025 says nitrous/treatment but not oral sedation or frenectomies), and is the Big Apple vitals-and-medical-history workflow part of the practice-wide standard?","4 items: 8113409702 (KTT guidelines), 8244485776 (Big Apple full RDA workflow, kept by John with a stale flag), 8716682059 (Sprout protocol), 9787803489 (Apr 2026 Texas restatement). Also names which videos exist per doctor, which feeds gap-a4.",open,
adj-pro-moves-meeting-links-sprout,adjudicate,John,conflict-group:pro-moves-meeting-links-sprout,"Confirm the Apr 2026 Sprout Pro Move meeting links doc (Monday DFI and RDA check-in, Thursday RDA check-out, Friday DFI check-out) is current and the Oct 2025 single-link post is dead.",2 items: 9155246994 (2025) and 9805191167 (Apr 2026 with attached doc).,open,
adj-edustack-daily-expectation,adjudicate,John,conflict-group:edustack-daily-expectation,"Confirm the EduStack expectation as it stands: one activity per day, mandatory (Tim made it not-optional in the PM-space comments), for DFIs. Is it still DFIs only, and are the Wednesday/Friday participation reports still running?",2 items: Tim's May 2026 DFI post with the Starbucks streak incentive (9866050538) and Johno's PM-space post whose comments made it mandatory (9887433830). John owns this program surface.,open,
adj-carestack-support-escalation,adjudicate,Tim,conflict-group:carestack-support-escalation,"State the one current CareStack help path for a team member: self-serve first, then CareStack support (via the Chrome plugin? the CSM Mariann Rodriguez? support@carestack.com?), and when exactly Lauren gets involved. The three posted routes need to become one answer.","3 items: the Chrome plugin instructions (8426459970, Mar 2025), Tim's Sprout 3-step process ending with Lauren for protocol questions and system faults (9003814643, Aug 2025), and Dr. Justin's contact-Mariann-directly post (8910092773, Jul 2025). The Jan 2026 support directory (adj-support-contacts-directory) lists support@carestack.com.",open,
adj-done-desk-required-training,adjudicate,Tim,conflict-group:done-desk-required-training,"What is the current required Done Desk course set: the six courses Tim cut Sprout down to after the 2025 pushback, or the fuller Texas annual list (state courses plus the EAP, plus the x-ray manual for clinical staff)? Say what is required per state today.",2 items: the 2025 Texas compliance push (8771633357) and the Sprout thread whose comments carry Tim's cut to 6 (8580012033).,open,
adj-support-contacts-directory,adjudicate,Tim,conflict-group:support-contacts-directory,"Confirm the Jan 2026 support contacts directory is current: Erickson IT (800-477-6758), VoiceStack (407-833-6436), Medusind (alcan@medusind.com), Uptime (support@uptimehealth.com), CareStack (support@carestack.com).","2 items, same directory posted in Alcan and PM spaces (9502653268, 9502656121).",open,
adj-cs-conversations-memo,adjudicate,Tim,conflict-group:cs-conversations-memo,Confirm the add-conversations-to-memo expectation still stands: DFIs add relevant CareStack text conversations to the patient memo as they happen.,"2 items: the same 2024 announcement with video in DFI and PM spaces (7294371814, 7294365050).",open,
adj-cs-pay-terminal-reference,adjudicate,Tim,conflict-group:cs-pay-terminal-reference,"Are the CS Pay terminal reference details still right (transactions menu 0456, admin 5259, thermal paper 57x40mm), and should terminal passcodes live in the Ask corpus at all or stay in a restricted place?","2 items: 9162484875 (KTT Texas, Jul 2025) and 8638257397 (PM space, May 2025). The second half is a policy call for John/Tim: the corpus is staff-visible, and passcodes may not belong in it.",open,
adj-google-review-response,adjudicate,Tim,conflict-group:google-review-response,"Confirm the current review workflow: DFIs respond to every Google review the same day and immediately escalate anything under 5 stars to the practice manager (Jan 2025). Is the 2022 Wonderist platform workflow dead, and what tool do DFIs respond through now?","2 items: 8264763163 (Jan 2025 policy, with Tim's comment on response rate and PM tracking) and 5246744984 (2022 Wonderist workflow with old escalation emails). Feeds gap-t9, which asks for the response template and the negative-review owner.",open,
adj-marketing-booth-checklist,adjudicate,Tim,conflict-group:marketing-booth-checklist,"Confirm the canonical marketing booth checklist (canopy, table, signage, 3 swag types at 60+ pieces, prize game, and now a tablet with hotspot to book patients on the spot) and settle the open question from the Sprout thread: does every office keep its own full set of booth supplies?","3 items: Big Apple and Sprout postings of the 2025 checklist (8395250580, 8546711159 with the unresolved per-office inventory question, Gracie keeps an inventory list) and the Manor version that added the tablet and hotspot (9206271228).",open,
adj-print-ordering-process,adjudicate,Tim,conflict-group:print-ordering-process,"Confirm print and marketing ordering now runs only through the VistaPrint ProShop (alcandental.ourproshop.com): PMs order, marketing approves every order, about 7 business days delivery, 2 weeks for custom pieces, and nobody orders from Minute Man Press anymore.",2 items: the Jun 2026 transition announcement (9954356646) and the PM-space ProShop details (9955775046).,open,
adj-holiday-referral-gifts,adjudicate,Tim,conflict-group:holiday-referral-gifts,"Is the chocolate tree referral gift a standing December program (managers pull top referring offices, trees delivered by mid-December), or a year-by-year decision?",2 items: the Nov 2024 DFI how-to with video (8052333273) and the Dec 2025 program post with Amazon list and Dec 19 deadline (9351875449).,open,
adj-hazard-com-labels,adjudicate,Ariyana,conflict-group:hazard-com-labels,"Confirm the printable hazard-communication label sheets (CaviCide, Windex, Zep) posted Dec 2024 in the Alcan space are the current ones for secondary containers, retiring the 2022 RDA-space copies.","6 items: three products, each posted in 2022 (RDAs space) and Dec 2024 (Alcan space). Same sheets by size; keep the 2024 set.",open,
adj-povi-one-curodont-guidance,adjudicate,Dr. Alex,conflict-group:povi-one-curodont-guidance,"Confirm the Apr 2026 Povi-One and Curodont training guide is current, including the billing comments: Povi-One under code D9630 at about $86, generally not covered by PPOs or Medicaid so it is patient responsibility, with a signed NCS form for Medicaid patients.","5 items: the training guide (9821660674) plus the branded chairside pages and PDFs posted the same day (9821544115, 9821609135, 9821607604, 9821608434). The guide plus two chairside pages should be the keeps.",open,
adj-crowns-vs-fillings-script,adjudicate,Dr. Alex,conflict-group:crowns-vs-fillings-script,"Confirm your crown-versus-filling script is still what you want quoted: fillings on baby molars last about 2 years with roughly 60% success versus about 95% for crowns, crowns need a shallower cut and less anesthesia time, per AAPD recommendations for children treated under GA.",2 items: the same Sep 2024 script in Alcan (9362178968) and Sprout (8531316733) spaces. Also cross-check against the 2026 zirconia clinical standard (adj-zirconia-crown-billing).,open,
adj-silver-vs-zirconia-education,adjudicate,Dr. Alex,conflict-group:silver-vs-zirconia-education,"Is the 2022 silver-versus-zirconia durability handout still accurate: we use solid Sprig zirconia crowns, about 99% personal success rate versus roughly 95% industry standard for silver, both good choices? The Jul 2026 Michigan standard makes stainless steel the posterior default, so does this handout need a caveat or a refresh?","2 items: the same 2022 docx in DFI (6113092507) and KTT (5588678608) spaces, laminated for parent conversations. The Jul 2026 MI zirconia post also pulled the white-versus-silver pamphlets until the doctor qualifies both options.",open,
adj-molar-options-handout,adjudicate,Dr. Alex,conflict-group:molar-options-handout,Confirm the Feb 2026 refreshed Molar Options PDF is the canonical parent handout and the 2022-2023 versions are retired.,"4 items: 2022 PM-space PDF (with Canva brand-swap discussion), 2023 RDA and Michigan copies, Feb 2026 refresh (9539884067).",open,
adj-space-maintainers-handout,adjudicate,Dr. Alex,conflict-group:space-maintainers-handout,Confirm the Feb 2026 refreshed Space Maintainers PDF is the canonical parent handout and the 2022-2023 versions are retired.,"3 items: 2022 PM-space and 2023 RDA-space copies, Feb 2026 refresh (9539882854).",open,
adj-sdf-handout,adjudicate,Dr. Alex,conflict-group:sdf-handout,Confirm the Feb 2026 refreshed SDF PDF is the canonical parent handout and the 2023 versions are retired.,"3 items: 2023 RDA and Michigan copies, Feb 2026 refresh (9539885099).",open,
adj-sealants-handout,adjudicate,Dr. Alex,conflict-group:sealants-handout,Confirm the Feb 2026 refreshed Sealants PDF is the canonical parent handout and the 2023 version is retired.,"2 items: 2023 RDA-space copy, Feb 2026 refresh (9539886228).",open,
adj-trauma-handout,adjudicate,Dr. Alex,conflict-group:trauma-handout,Confirm the Feb 2026 refreshed Trauma PDF is the canonical parent handout and the 2023 version is retired.,"2 items: 2023 RDA-space copy, Feb 2026 refresh (9539881755).",open,
chk-7801321112,confirm,Tim,ledger:7801321112,"Is Phoenix Children's Hospital (1919 E Thomas Rd, Phoenix, 602-933-1000) still the hospital Dr. Martinez operates at?","Kept Big Apple Q&A row from Sep 2024, flagged stale risk. Facility relationships change; one-sentence confirm.",open,
chk-7803519471,confirm,Tim,ledger:7803519471,"Does Big Apple still handle after-hours emergencies through the Reach answering service routing to Dr. Martinez, with a neighboring office covering his vacations?","Kept Big Apple Q&A row from Sep 2024, flagged stale risk. Note the Texas practices moved to internal on-call in Jan 2026 (adj-after-hours-on-call-protocol); confirm Big Apple's arrangement separately.",open,
chk-7805877753,confirm,Tim,ledger:7805877753,"Is Arizona Dental Anesthesia, LLC (800-997-1220, arizonada.com) still the anesthesia group Big Apple uses?","Kept Big Apple Q&A row from Sep 2024, flagged stale risk. One-sentence confirm.",open,
chk-6231594373,confirm,Tim,ledger:6231594373,"Does the 2023 Short Call List guidance still match today's CareStack (patients addable without a scheduled appointment, offer the standby list when families want something sooner)?",Kept row flagged stale risk. Same question as adj-short-call-list; answering there resolves this row too.,open,
