action_id,role_name,domain,competency_name,text,description,resources_url,intervention_text,script,active
89,Front Desk,Cultural,Empathetic Practice Policy Education,"When a patient is greater than 10 minutes late, i always communicate our understanding, then acknowledge that their wait may be more than usual.","Late arrivals happen, how you handle them matters. Be kind, stay direct, and reset expectations so the visit still feels organized and calm.",,"Resetting expectations saves the relationship. Don't just say Okay. Say: We'll squeeze you in, but there will be a wait. Be honest about the consequence.","“No worries, we understand things happen, and even though you were late, we still will have space to see you today. I'll just ask you to be patient while we find an opportunity to get you back.""",true
90,Dental Assistant,Case Acceptance,Empowering Informed Decisions,"Before dismissal, I always ensure the next visit is scheduled at the clinically appropriate interval",Locking in the next visit keeps treatment on track. Making sure families know exactly who to reach out to prevents confusion and gives them a clear pathway for support.,,,,true
91,Dental Assistant,Case Acceptance,Establishing Credibility,"I always share a quick, positive story about how this treatment helped another child feel better or stay healthy (no names or details), so parents can picture the real benefit.","A short, anonymous success story helps parents imagine the positive outcome for their own child. It replaces fear with a clearer picture of what good care can do.",,"Social proof works. We had a kiddo just last week with this same issue, and they did great. Normalize the success.",“I actually helped a child with the same issue recently—after this treatment they were comfortable again within a day.”,true
93,Front Desk,Case Acceptance,Establishing Credibility,I always preview our use of OVERJET as the most 'advanced AI powered xray technology' when explaining the flow of a new patient visit.,"When you talk about OVERJET, keep it simple and confident. It tells families your team uses the best tools for their child’s care, no tech talk required.",,AI sounds scary; Precision sounds safe. Ask the Doctor to show you an OVERJET image so you can see exactly what you are describing to parents.,"We use a technology called OVERJET, it’s advanced AI that helps the doctor read X-rays more precisely and catch even tiny issues early.",true
94,Front Desk,Case Acceptance,Facilitating Smooth Processes,"For all new-patient booking calls, I direct the caller to their patient portal, and confirm they have been able to successfully log in before ending the call.","Before you hang up, make sure they can log in. One minute now saves five later and keeps paperwork from piling up at the front desk.",,,"“Before we finish, go ahead and check your email for a link to your patient portal. I'll stay on the line to make sure you can get in. Got it? Awesome, you'll want to complete all tasks here prior to arrival, that will help us make sure you visit runs on time.""",true
95,Front Desk,Clinical,Fundamental Dental Knowledge,I am able to summarize the basic steps for all common clinical procedures.,"Know the flow before the patient sits down. Explaining procedures clearly builds confidence, yours and theirs.",,"Patients fear the unknown. If you can't explain a Pulpotomy simply, ask a Lead RDA to describe it to you in plain English today.",,true
97,Dental Assistant,Clerical,Office Task Management,"Before lunch and at the end of the day, I always check high-turnover disposables and note anything running low so we never start short.",Quick supply checks prevent mid-day shortages. Catching low items early keeps procedures running smoothly and protects the pace of care.,,"No surprises. Check the high-volume items (suction tips, gauze) before the afternoon rush. Running out mid-procedure is preventable.",,true
98,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,"I always monitor patient comfort, scanning for breathing, tension, and signs of anxiety, and narrate progress or use distraction to reduce stress, unless the doctor is already managing comfort, in which case I support their lead.","Comfort cues are easy to miss. Noticing a child’s breathing or body tension early lets you step in before anxiety builds. If the doctor’s already leading, your role is quiet support, matching tone and reinforcing calm.",,"You are the patient's advocate. Watch their hands. If they clench, touch their shoulder and remind them to breathe. Don't just watch the tooth.","“You’re doing great. We’re almost through this next part—if you need a break, just let me know.”",true
99,Front Desk,Clinical,Patient Flow Coordination,When the treatment coordinator is occupied I always step in and handle any payment of outstanding balance using the card reader,"Step in when things jam. You’re not just helping with payments, you’re keeping the day from slowing down.",,"You are the backup engine. If the card reader intimidates you, grab a Lead right now and run a $1.00 test charge and refund. Muscle memory cures fear.",,true
100,Front Desk,Clerical,Patient Record Maintenance,"I set aside time daily to call or text people on the ""Incomplete Paperwork"" list in order to keep same-day verifications below 3%",Keep paperwork from becoming panic work. A quick call or text today prevents tomorrow’s bottleneck.,,Chasing forms is better than stalling the clinic. Send 3 texts right now to tomorrow's Incomplete list. Future-you will thank you.,"Hi there, this is Denise from Alcan Dental! I noticed there are a few missing forms in your portal. Please take some time and complete that paperwork before your kiddo's appointment tomorrow so there aren't any delays once you arrive.",true
102,Dental Assistant,Clinical,Sterilization and Procedure Preparation,I always review the entire room reset checklist and confirm every item is complete before considering the room ready for the next patient.,"A complete reset keeps every patient safe and every provider set up for success. Following the checklist ensures nothing gets missed and the room starts clean, stocked, and ready.",,Don't trust your memory; trust the checklist. One missed item can delay the next appointment. Physically touch the checklist for your next turnover.,,true
103,Front Desk,Clerical,Strategic Scheduling,I always make sure there are zero 'pending follow up' items inside the VoiceStack Opportunities tab by the end of the day,"End every day clean. When follow-ups are handled, the system, and the team, runs smoother.",,"A clean dashboard is a clean mind. If Pending Follow-ups are piling up, ask the Office Manager to help you triage the list for 15 minutes today.",,true
104,Front Desk,Case Acceptance,Treatment Communication,"When a clinical question is beyond my knowledge, I create and assign a 'To-Do' in VoiceStack (phone) or CareStack (in-person), and inform the patient that someone will reach out within 24 hrs.","You don’t need to know everything, you just need to close the loop. Logging a To-Do and setting clear follow-up expectations shows accuracy and accountability.",,"I don't know is a brave answer, as long as it's followed by I'll find out. Log the To-Do immediately. If you forget to log tasks, use a sticky note buffer.",,true
105,Dental Assistant,Cultural,Trust Building Interactions,"I always use the question ""What are your goals for your child's oral health over the next 5 years?"" during a new patient appointment.",Asking about goals shows the parent that their priorities matter. It gives the doctor helpful context and helps families feel like true partners in their child’s care.,,,"“Before we get started, what goals do you have for your child’s oral health over the next few years?”",true
106,Front Desk,Cultural,Trust Building Interactions,"I always ask patients at least one curious, open-ended question during the check in process.",Curiosity creates connection. One sincere question can shift a rushed check-in into a real conversation.,,Break the script. Ask one kid today: What was the best part of your weekend? Watch how it changes the energy of the check-in.,Hi there! I love your outfit today. What did you do over the weekend?,true
107,Front Desk,Clerical,Welcoming Environment,I always check throughout the day to make sure the correct music is playing at an appropriate level,"The sound of the office shapes how people feel. Keep it calm, friendly, and at a volume that lets conversation breathe.",,"Vibes matter. If the music is too loud or too sleepy, change it. You are the DJ of the patient experience.",,true
108,Front Desk,Cultural,Welcoming Presence,"As part of the administrative team, I always dress in business casual attire when I am at work, even on non-patient days","The way you show up changes the energy of the whole office. Professional doesn’t mean fancy, it means showing pride in your work every day.",,"Your look signals authority. If you're unsure about an outfit, check the Culture Guide or simply ask a Lead DFI: Is this client-ready?",,true
109,Front Desk,Cultural,Handling Critical Feedback,"When presented with critical feedback, I always ensure that a next-step or resolution has been found before finishing the interaction.","Don’t end a feedback talk without a plan. We don't want to walk away without knowing at least a next step, even if it's just coordinating a chat with a manager.",,"Don't let them leave angry. Before they go, ask: Do you feel like we have a plan to fix this? If they say no, get the Manager.",,true
114,Front Desk,Clerical,Strategic Scheduling,Every day I pull the Same Day Verification report for the next 3 days and send it to Medusind,Staying ahead on insurance verification keeps appointments smooth and reduces day-of delays. A quick daily report ensures families are ready and the clinical team isn’t stuck waiting.,,"This prevents billing fires. If Medusind doesn't get this, we work for free. Make this the very first thing you do after logging in, even before checking email.",,true
119,Front Desk,Case Acceptance,Effective Objection Handling,"I always state that fluoride will be done and note the uncovered fee, rather than asking permission, and I direct any follow-up questions to the clinical team.","Stating fluoride confidently helps avoid confusion and keeps the visit on track. You normalize the recommendation, explain the uncovered fee, and let the clinical team address any detailed questions.",,"Don't ask for permission; inform of the plan. Instead of Do you want fluoride?, say: We're applying the fluoride varnish today. Confidence prevents the objection.","""The Doctor is recommending fluoride and xrays today. Your estimated patient portion for that is $30. The clinical team can walk you through any questions once you’re in the back.”",true
120,Dental Assistant,Clinical,Sterilization and Procedure Preparation,I always use fresh cleaning rags for each individual patient encounter,Using a new rag for every patient protects against cross-contamination and keeps the room visibly clean. It’s a small step that makes a big difference in safety.,,"Visibility is trust. If a parent sees a used rag, they doubt the sterile instruments. Use a fresh rag for every single patient, no exceptions.",,true
121,Dental Assistant,Cultural,Trust Building Interactions,I always offer parents a coffee and patients a blanket prior to all procedures.,"Small gestures make big impressions. Offering comfort items helps families relax and shows that you’re thinking about their experience, not just the procedure.",,"Comfort comes first. Before you lean the chair back, offer a blanket. It takes 10 seconds and buys you 10 minutes of cooperation.",“Can I get you a coffee? And would you like a blanket while we wait for Dr. Eduardo?,true
122,Dental Assistant,Cultural,Trust Building Interactions,I always set patients up for comfort by offering a headset and asking them what they'd like to watch.,Helping the patient choose something to watch gives them control and distraction during the visit. It turns an unfamiliar procedure into something familiar and safe.,,Give them control. Letting the child pick the show gives them agency in a scary environment. Do this before you open any instruments.,,true
123,Dental Assistant,Clerical,Patient Record Management,"After each applicable procedure, I always attach one intraoral photo to support patient understanding and insurance documentation.",A clear photo helps parents understand the procedure and strengthens documentation for the doctor and insurance. It’s a quick step that adds clarity for everyone.,,"A picture justifies the claim. If you struggle to get good angles, grab a Lead RDA between patients and practice your camera positioning.",,true
124,Dental Assistant,Clerical,Patient Record Management,I always complete and save clinical notes as a draft before the end of each appointment.,Complete notes keep the entire care team aligned. Finishing them before the appointment ends ensures accuracy and prevents details from being forgotten.,,"Notes are legal documents. Don't wait until lunch. Finish the draft before you dismiss the patient, while the details are fresh.",,true
126,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,"When the doctor enters, I always present the patient by name, state the planned procedure, share relevant medical history, and relay any parent questions or concerns.",A smooth handoff helps the doctor focus immediately and shows the family that you’re all on the same page. Presenting the patient clearly builds trust and keeps the visit efficient.,,"Summarize to build trust. State the plan clearly in front of the parent: This is [Name], we are doing [Procedure]. It shows the team is aligned.","""Dr. Alex, Max is 5 years old and is here today with his mom, Mrs Smith. This is the 2nd time we've seen Max and he's in today for his check up and cleaning. Max has a history of asthma and uses an inhaler when he is sick. Mrs. Smith mentioned that she is concerned he hasn't lost any teeth and would like you to check on that. Max did great for his cleaning, x-rays were a little hard for him to bite on but I'm really proud of him for trying today! I am sure you remember that Max loves monster trucks, so I told him you were going to check and see if there were any monster truck tracks in his mouth today!""",true
127,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,I always play the correct Parent Pre-Treatment video prior to Dr. arrival in the room,"This video helps make sure parents understand their role is during the treatment, and helps prevent interruptions as much as possible.",,Let the screen do the teaching. Playing the video ensures the parent gets the standard info while you set up the tray.,,true
128,Dental Assistant,Clerical,Office Task Management,I’m always prepared to perform any maintenance or compliance task listed in the Uptime checklist when assigned.,Staying ready for maintenance tasks keeps the office safe and compliant. Following the checklist consistently supports the entire team’s workflow.,,Consistency is safety. Don't skip the boring checks. Verify the O2 tank or the autoclave logs. It matters.,,true
129,Dental Assistant,Clerical,Coordinating Patient Flow,"I always actively manage doctor flow by clearly communicating when and where patients are ready, including location, procedure, and patient type, to keep the schedule running smoothly.","Clear, proactive updates keep the doctor moving efficiently. Sharing the right details at the right moment prevents confusion and helps the entire day run smoothly.",,Be the traffic controller. Tell the doctor exactly where to go next. Room 2 is ready for numbing. Direct traffic to save time.,,true
130,Dental Assistant,Clerical,Coordinating Patient Flow,I always maintain the same professional pace and focus whether the office is calm or hectic.,A steady pace builds trust with both patients and the team. Staying consistent—even when things get busy—helps the day feel organized instead of chaotic.,,"Calm adds speed. Rushing creates mistakes. Take one deep breath. Move with purpose, not panic. The patient mirrors your energy.",,true
131,Dental Assistant,Case Acceptance,Effective Objection Handling,I always communicate the importance of X-rays to our standard of care any time a parent objects or attempts to decline them.,X-rays help the doctor catch things we can’t see with our eyes. Explaining that clearly—and kindly—helps parents understand that imaging isn’t optional; it’s part of providing complete and safe care.,,To see is to know. Explain: We can't fix what we can't see. The X-ray ensures we don't miss a cavity hiding in between.,"“X-rays help us find things we can’t see from the surface, so they’re incredibly important for keeping your child’s care safe and accurate. If you have questions or concerns, we can certainly wait and ask Dr. Jess when she gets here.""",true
132,Dental Assistant,Cultural,Handling Constructive Feedback,"When presented with critical feedback or conflict from a parent or guardian, I always ensure that a next-step or resolution has been found before finishing the interaction.",Every piece of feedback needs a clear finish. Ending with a concrete next step shows professionalism and turns criticism into forward motion.,,,“Here’s what I’ll do next: I’ll update the doctor about your concern and make sure we adjust the plan so this doesn’t happen again.”,true
149,Front Desk,Cultural,Welcoming Presence,"I always center myself and smile in real life before answering the phone, ensuring a warm tone of voice.","Families can hear your smile. Taking a breath before answering helps you sound warm and steady, turning every phone call into a positive first impression.",,"You can hear a smile. If you're stressed, the caller hears Busy. Take one breath, physically smile, then pick up. It hacks your brain into warmth.",,true
150,Front Desk,Clerical,Communication Balancing,"When I am on the phone and a patient walks in, I find the soonest natural break and kindly place them on a brief hold in order to serve the patient in front of me.","Balancing in-person and phone communication takes awareness. Stepping away at a natural pause lets you greet walk-ins warmly without leaving your caller hanging. Both patients feel seen, not sidelined.",,"The person in front of you wins. It feels rude to interrupt the caller, but it's worse to ignore the lobby. Practice the phrase: I have a patient walking in, may I place you on a brief hold?","“Thank you ,  now, if you'll give me one quick moment, I’m going to place you on a brief hold and then I'll be right back with you.",true
151,Front Desk,Clerical,Communication Balancing,"I always check the voicemails / missed calls on Voicestack in the AM, at lunch, and in the PM and take action as necessary.","Checking missed calls throughout the day keeps communication tight and prevents families from feeling ignored. A quick sweep in the morning, at lunch, and before closing helps make sure no one slips through the cracks.",,"The AM/Lunch/PM rhythm is non-negotiable. If you skip the Lunch check, the PM pile becomes unmanageable. Set a phone alarm for just before Lunch to clear the board.",,true
152,Front Desk,Clerical,Strategic Scheduling,Every Monday I use Carestack to pull the 'Interpreter Report'  for the next 2 weeks and schedule interpreters as necessary.,Planning interpreters ahead of time removes stress for families and the clinical team. A quick Monday check ensures every patient feels supported and nothing gets missed at the last minute.,,"Monday automation sets up the week. If you forget this, we scramble later. If necessary, set a recurring reminder on your phone for Interpreter Audit at 9:00 AM on Mondays right now.",,true
153,Front Desk,Clerical,Strategic Scheduling,Every Monday I pull the missing codes report for the next 3 months and fill in all missing codes,Filling in missing codes early keeps schedules accurate and prevents last-minute surprises. A weekly sweep ensures records are complete and billing runs smoothly.,,"Missing codes mean missing revenue. If scanning 3 months feels overwhelming, break it down. Do Next Month today, and the rest tomorrow. Just get started.",,true
154,Front Desk,Cultural,Empathetic Practice Policy Education,"I always remind patients to access and complete the patient portal prior to arrival, and warn about delays if they do not",A gentle reminder about the portal helps families come prepared and keeps their visit running smoothly. Setting expectations early prevents delays and shows that you’re looking out for their time.,,"The warning isn't a threat; it's a kindness. If you don't warn them about the delay, they will blame you when they have to wait. Say: To keep your appointment time protected, we need this done now.","“If you can complete the portal forms before you come in, it keeps your visit smooth. If not, just a heads-up ,  it may add a few minutes at check-in.”",true
155,Front Desk,Cultural,Trust Building Interactions,I always apply the Alcan template to write a personalized response to all positive Google reviews within 24 hrs.,Responding to positive reviews quickly shows gratitude and strengthens relationships. Personalizing each message makes families feel recognized and reinforces what they loved about their visit.,,Speed matters. A response 3 days later looks automated. Copy the Alcan Template to a sticky note on your desktop so you can paste-and-personalize in 30 seconds.,,true
156,Dental Assistant,Clerical,Office Task Management,I always schedule the 6-month recare apppointment while the patient is in-chair,"Keeping our patients in a consistent flow is crucial, and you're in the best position to make sure this gets done every time.",,Don't rely on the front desk. The best time to rebook is when the patient is happy in the chair. Say: Let's secure your spot for 6 months so you get the time you want.,"Ok, before you get out of here, we'll get your next appointment on the books. 6 months from now puts us into July. Tell me what day of the week you have the most control over your schedule, and I'll find some possible times for us.",true
157,Dental Assistant,Clinical,Patient Comfort and Communication During Procedures,"Before treatment begins, I always preview the doctor, the procedure, and invite any questions or concerns from the parent or patient.","Kids relax when they know what’s about to happen, and parents trust you when you take time to include them. A calm preview sets the tone, everyone understands what’s next, and the doctor walks into a prepared, confident room.",,"By providing a clear description of what's next, you give patient and parent a chance to calm, and to get a pulse check that you can relay to the doctor.","Ok, so Dr. Alex will be starting that extraction in a second. Before I go and get her, can you tell me how you're feeling about the procedure today?",true
160,Front Desk,Case Acceptance,Treatment Communication,"I always use ""estimated insurance benefits/ savings"" and ""patient portion/ responsibility"" instead of ""covered/not covered"" and ""out-of-pocket"".","We always refer to insurance as a benefit or a savings so there's less surprise when treatment isn't fully covered. ""Out-of-pocket"" gives families the mental image that we’re “reaching into their pocket” for money.",,,"“Today we’ll be completing the exam, any medically necessary radiographs, the cleaning, and protective fluoride varnish. Your estimated insurance savings are $52, and your estimated patient responsibility is $26.”",true
161,Dental Assistant,Case Acceptance,Clear Treatment Communication,"I always use ""estimated insurance benefits/ savings"" and ""patient portion/ responsibility"" instead of ""covered/not covered"" and ""out-of-pocket"".","We always refer to insurance as a benefit or a savings so there's less surprise when treatment isn't fully covered. ""Out-of-pocket"" gives families the mental image that we’re “reaching into their pocket” for money.",,Our language sets the tone. Try to catch yourself using these phrases and eliminate them from your work vocabulary.,"“Today we’ll be completing the exam, any medically necessary radiographs, the cleaning, and protective fluoride varnish. Your estimated insurance savings are $52, and your estimated patient responsibility is $26.”",true
163,Dental Assistant,Case Acceptance,Effective Objection Handling,"When discussing Zirconia crowns with a guardian, I always communicate their value by highlighting that we're unique in placing them, their improved appearance, and their long term durability.","We believe in this treatment, even if insurers don't. So we need to be able to explain why, and why the family should care.",,,"“Given where this cavity is, the best fix is a zirconia crown. It’s a tooth-colored ceramic cap that protects the tooth and looks like a real tooth. We get lots of positive feedback on them. 

A lot of offices stick to the silver ones—our doctors place zirconia all the time and are super dialed on fit and bite, so it’s comfortable and holds up well. Doctor Alex will show you exactly how it works and what to expect after.",true
164,Front Desk,Clerical,Patient Record Maintenance,"I always begin my check in process by confirming the preferred name and relationship for the person who has brought the patient (i.e mom, aunt, grandma), and checking to ensure they are authorized.","This first matters for HIPAA compliance, but also because it's valuable for us to know exactly what folks like to be called!",,"Don't forget this, it's CRUCIAL that we make sure patients are with someone approved to bring them in for treatment. It never hurts to ask!","""Hi there, welcome in, can I ask who we are checking in today?""

""Awesome, and what is your name and your relationship to Jessica?""

""Ok Denise, thanks for checking her in. Let me check our documentation to make sure you're listed as someone who can bring Jessica to our office....""

""Great, it looks like you're on our list. Is it ok if I introduce you to the team as Denise? Or do you have another preference?""",true
165,Office Manager,Clinical,Team Training Oversight,I always verify team attendance for both ProMove meetings each week and follow up with any team member who misses one within one business day.,"Ensuring consistent attendance at ProMove meetings keeps everyone aligned on priorities and learning, and prevents the same people from repeatedly missing key development time.",Block time each week to check attendance right after meetings and send quick follow-ups to anyone who missed.,,,true
166,Office Manager,Clinical,Patient Care Standards,"I always schedule time each week to observe the RDA to Doctor hand-off, document at least one opportunity for improvement, and follow up with the appropriate team member about it.",Regularly observing clinical hand-offs helps catch small communication gaps before they become bigger patient experience or clinical quality issues.,Put a recurring weekly calendar block to shadow hand-offs and write down at least one concrete improvement to discuss.,,,true
167,Office Manager,Clinical,Compliance and Safety,"Each week, I review all Uptime tasks related to clinical equipment with my Lead RDA and ensure every item is either completed or has a clear due date before the end of that week.","Reviewing Uptime tasks weekly keeps clinical equipment safe, compliant, and ready, reducing the risk of breakdowns and safety incidents.",Set a standing weekly meeting with your Lead RDA to review Uptime tasks together and close any open items.,,,true
168,Office Manager,Clerical,Operational Efficiency,"I always review last week’s key KPIs every Monday (i.e production, collections, Google Reviews, and New Patient #’s), identify problem areas, and send my Regional Manager an action plan to address.","A weekly KPI review with an action plan keeps the practice focused on the numbers that matter and turns issues into concrete steps, not just awareness.","Protect time every Monday to review KPIs and send a short, specific action plan email to your Regional Manager.",,,true
169,Office Manager,Clerical,Schedule and Flow,I always take action on every item in the the Voicestack “Potential Opportunities” column before the end of the day.,"Acting on Voicestack opportunities daily prevents missed treatment, callbacks, and follow-ups that would otherwise leak revenue and hurt patient experience.",Schedule a short block near the end of each day to clear or assign every “Potential Opportunities” item.,,,true
170,Office Manager,Clerical,Schedule and Flow,I always ensure the phone is answered by either me or a team member within 3 rings,Holding the team to a three-ring standard reduces missed calls and gives parents confidence that the office is responsive and organized.,Review call reports regularly and coach team members when the three-ring standard isn’t being met.,,,true
171,Office Manager,Clerical,Schedule and Flow,"I always ensure that all appointments scheduled within the next 48 hours have a documented confirmation (call, text, or email) by either myself or my team.",Confirming upcoming appointments 48 hours in advance reduces no-shows and last-minute gaps that hurt production and flow.,Build a daily 48-hour confirmation routine and check the report until it’s consistently at 100%.,,,true
172,Office Manager,Clerical,Schedule and Flow,I always review the schedule 48 hours in advance and ensure families missing paperwork are contacted with clear instructions by either myself or my team.,Catching missing paperwork ahead of time prevents bottlenecks at check-in and helps the day start smoothly for both staff and families.,Add a 48-hour paperwork review to your daily schedule and verify that every family has been contacted.,,,true
173,Office Manager,Clerical,Schedule and Flow,I always review Iris chats at the end of each day and ensure all messages are responded to or assigned to a specific owner by either myself or my team.,Closing out Iris chats daily keeps digital communication tight and prevents parent messages from slipping through the cracks.,"Before leaving, open Iris and make sure every chat is either answered or clearly assigned.",,,true
174,Office Manager,Clerical,Schedule and Flow,I always check for and ensure a response to all online appointment requests every day.,Responding to online appointment requests daily shows parents you are responsive and prevents missed opportunities to fill the schedule.,"Set a daily reminder to check online requests and make sure each one is scheduled, declined with a note, or set for follow-up.",,,true
175,Office Manager,Clerical,Root Cause Analysis,"I always analyze common claim flags at least once a week and communicate specific behavior changes to the team during huddle, then monitor whether those flags decrease over time.",Looking at patterns in claim flags and changing behavior prevents the same billing mistakes from happening over and over again.,"Choose one or two recurring flag types each week, share the “why” in huddle, and track if those flags drop.",,,true
176,Office Manager,Clerical,Revenue Cycle Management,I always review all uncollected balances two business days before the scheduled appointment,Reviewing uncollected balances ahead of visits allows you to plan for conversations and avoid surprises at the front desk.,Use a 2-day-ahead report to flag uncollected balances and note how each account will be handled at the visit.,,,true
177,Office Manager,Clerical,Revenue Cycle Management,I always ensure families with uncollected balances are contacted by phone or text prior to their appointment to review payment expectations or arrangements.,Proactively contacting families about balances reduces awkward day-of conversations and improves the chance you’ll collect what is owed.,Make it a habit to reach out early about balances so families know what to expect before they arrive.,,,true
178,Office Manager,Clerical,Revenue Cycle Management,I always complete and submit the Daily Production Report and verify it matches production figures in Carestack before 10am the following day.,Completing and reconciling the Daily Production Report keeps your numbers accurate and builds trust in the practice’s reporting.,Block time each morning to finish the DPR and double-check it against Carestack before 10am.,,,true
179,Office Manager,Clerical,Revenue Cycle Management,I always review claim flags daily and work or assign them so that unactioned flags remain below 10.,"Keeping claim flags low ensures claims move quickly, reducing delays in payment and preventing growing backlogs.",Check claim flags every day and don’t let the unactioned count creep above 10.,,,true
180,Office Manager,Cultural,Leading and Coaching,"I always walk the floor twice daily to check in briefly with every team member, address any immediate barriers, and give specific encouragement when I see something done well.","Being visibly present and supportive on the floor builds morale, surfaces issues early, and reinforces positive behaviors in real time.","Set two daily reminders to step out of your office, walk the floor, and connect with each team member.",,,true
181,Office Manager,Cultural,Trust Building,"I always personally follow up with any parent concern or complaint escalated to me before the end of the next day, clearly summarizing what we’ll do next and how they can reach me if necessary","Prompt, personal follow-up on escalated concerns shows parents that their experience matters and helps rebuild trust after a problem.","When a concern is escalated, note it immediately and schedule time to call or speak with that parent before the next day ends.",,,true
182,Office Manager,Cultural,Emotional Intelligence,"I always stay aware of the overall mood in the office throughout the day, I pause what I’m doing as necessary to either reset the tone with encouragement and clarity or address the source of tension directly with the team.","Managing the overall mood in the office keeps stress from spreading and helps the team stay calm, focused, and patient-centered.","When you feel the energy dip or spike, take a moment to name it, reset expectations, and offer calm, clear guidance.",,,true
183,Office Manager,Cultural,Community and Marketing,"I always confirm that our assigned social media content for the week (photos, videos, or stories) has been gathered from the team and submitted to the marketing contact by the end of the last clinic day of the week.",Consistently submitting social content keeps your community presence active and shows families what makes your practice special.,Choose a specific day each week to collect content from the team and send it to marketing before the day ends.,,,true
184,Office Manager,Case Acceptance,Case Communication,"I always use the language ‘estimated insurance benefits’ and ‘estimated family contribution,’ and I never use the words ‘covered’ or ‘out-of-pocket’ when discussing costs with parents.","Using precise, consistent language about costs reduces confusion and prevents parents from feeling misled about what insurance will pay.",Practice this phrasing before case presentations so it becomes automatic in every money conversation.,,,true
185,Office Manager,Case Acceptance,Financial Coordination,I always respond to financial concerns with a clear explanation of all options including reasonably breaking up treatment and using CareCredit,"Offering clear, flexible payment options helps parents say yes to needed treatment without feeling pressured or stuck.","When a parent hesitates over cost, slow down and walk through each payment option calmly and clearly.",,,true
186,Office Manager,Case Acceptance,Treatment Plan Follow-Up,I always review and submit all preauthorization documentation no more than 48 hours after treatment acceptance.,Submitting preauthorizations within 48 hours speeds up insurance decisions and keeps treatment moving forward without long delays.,"After a case is accepted, make it a rule to start and finish preauths within the next two working days.",,,true
187,Office Manager,Case Acceptance,Treatment Plan Follow-Up,I always review preauthorization approvals every day and follow up with insurance as necssary.,Checking preauth approvals daily ensures you don’t miss a green light from insurance or let stalled cases sit without action.,Add preauth approvals to your daily checklist and follow up on anything pending or unclear.,,,true
188,Office Manager,Case Acceptance,Patient Experience,"I always personally complete the full check-in process with at least one family each day, modeling over-the-top hospitality by greeting them by name, confirming comfort, offering amenities, and setting clear expectations for the visit so the team sees the standard we expect.",Personally modeling exceptional hospitality sets the tone for the whole team and shows exactly what a 5-star check-in should look and feel like.,Choose one family each day to check in yourself and use that moment to model the warmth and clarity you expect from the team.,,,true
189,Doctor,Clinical,Chart Accuracy,"I always verbalize the exam findings in it's entirety to the RDA/AI- including: extraoral findings, TMJ, intraoral soft tissue findings, current dentition, hard tissue findings, radiographic findings, occlusion, and airway.","Using a consistent verbal exam sequence ensures that every critical part of the evaluation is completed and documented, reducing the risk that important findings are missed.

Speaking findings clearly and in the same order each time allows the RDA and AI documentation tools to accurately capture the exam, improving charting quality and reducing the need for corrections after the visit.",,,,true
190,Doctor,Cultural,Family Presence & Communication,"I always check to confirm parent alignment with the mutually agreed upon treatment recommendation before leaving the room- directly asking them ""how are you feeling about the plan as it stands?""","After reviewing treatment recommendations, I pause to check how the parent is feeling about the plan to ensure they feel heard and comfortable moving forward. This brief alignment check reinforces shared decision-making, builds trust, and helps prevent confusion or hesitation about next steps.",,,,true
191,Doctor,Case Acceptance,"Comfort, Safety & Sedation Guidance","I always offer and consider general anesthesia as a treatment modality for extensive treatment needs (3+ quads) children with behavioral concerns, or medically complex children who are high risk candidates and not suitable for oral sedation, or based on parent preference for GA.","For children requiring extensive treatment, pre-cooperative patients, or those with special healthcare needs, I consider general anesthesia as a safe and predictable option to complete care comfortably and effectively. Recommending GA when appropriate helps prevent traumatic or failed sedation attempts and allows comprehensive treatment to be completed efficiently in a controlled environment.",,,,true
192,Doctor,Clinical,Treatment Planning for Long Term Health,I always strive to maximize treatment accomplished per visit to increase parent satisfaction and my production per appointment goals.,"When children are comfortable and the schedule allows, I aim to complete multiple quadrants of treatment during a successful nitrous or oral sedation visit to reduce the number of appointments families need. Consolidating care improves efficiency for the practice while minimizing missed school, missed work, and additional sedation visits for families.",,,,true
193,Doctor,Clinical,Treatment Planning for Long Term Health,"I always offer same day sealants, hall crowns, and space maintainers - and always consider other same day restorative treatment when the schedule permits.","When clinically appropriate and the schedule allows, I offer same-day treatment opportunities to reduce unnecessary return visits for families. Addressing small or preventive needs during the same appointment improves convenience for parents, strengthens patient satisfaction, and makes better use of available chair time.",,,,true
194,Doctor,Cultural,Family Presence & Communication,I always use authentic conversation and storytelling with relatable examples to build trust with patients and parents.,"At every patient interaction, I strive to communicate in a way that feels human, relatable, and authentic, using clear explanations, conversational language, and appropriate storytelling to help families understand their child’s oral health.

Rather than delivering information in a purely clinical or transactional way, I aim to create a comfortable dialogue that builds trust and connection.",,,,true
